0.30578512,0.22615804,0.21568627,0.27070707,0.18205805,0.22813688,0.42331288,0.34228188,0.23076923,0.59348681,0.34237288,0.42026507,0.54054054,0.50107991,0.41373626,0.28661088,0.28348214,0.29257642,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.29629630,0.39387755,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.31818182,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.22615804,0.21568627,0.27070707,0.18205805,0.22813688,0.37598425,0.21568627,0.42857143,0.59348681,0.28957529,0.42026507,0.54054054,0.35195531,0.41373626,0.28661088,0.63134658,0.29257642,0.46597938,0.36570561,0.43105756,0.35516605,0.37256809,0.29629630,0.39387755,0.33447099,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.47122302,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.22615804,0.21568627,0.27070707,0.18205805,0.22813688,0.42331288,0.34228188,0.23076923,0.59348681,0.34237288,0.42026507,0.54054054,0.50107991,0.41373626,0.28661088,0.28348214,0.29257642,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.32492114,0.28205128,0.33447099,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.40070922,0.22615804,0.21568627,0.27070707,0.18205805,0.22813688,0.37598425,0.21568627,0.23076923,0.59348681,0.34237288,0.42026507,0.37685460,0.50107991,0.41373626,0.28661088,0.63134658,0.20238095,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.24347826,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.61182994,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.22615804,0.21568627,0.27070707,0.18205805,0.22813688,0.37598425,0.21568627,0.42857143,0.41196013,0.28957529,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.63134658,0.29257642,0.32033898,0.36570561,0.43105756,0.34426230,0.37256809,0.30022321,0.28205128,0.33447099,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.61182994,0.34492754,0.51006711,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.40070922,0.16233766,0.24340176,0.27070707,0.18205805,0.22813688,0.42331288,0.56724422,0.31250000,0.59348681,0.28957529,0.42026507,0.37685460,0.35195531,0.41373626,0.28661088,0.28348214,0.29257642,0.32033898,0.36570561,0.43105756,0.78527607,0.37256809,0.30022321,0.59856631,0.27272727,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.24301075,0.47122302,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.38827098
0.40070922,0.16233766,0.24340176,0.27070707,0.18205805,0.22813688,0.37598425,0.56724422,0.31250000,0.41196013,0.43750000,0.42026507,0.58858058,0.35195531,0.41373626,0.28661088,0.28348214,0.26470588,0.46597938,0.36570561,0.43105756,0.78527607,0.37256809,0.30022321,0.39387755,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.57772021,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.38827098
0.40070922,0.22615804,0.21568627,0.27070707,0.18205805,0.22813688,0.42331288,0.56724422,0.23076923,0.59348681,0.34237288,0.42026507,0.58858058,0.35195531,0.41373626,0.28661088,0.28348214,0.29257642,0.49600000,0.36570561,0.54411765,0.25974026,0.37256809,0.30022321,0.28205128,0.32967033,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.24301075,0.42307692,0.40942472,0.56906967,0.41192266,0.54708520,0.39797549,0.41570541,0.38827098
0.60943500,0.22615804,0.24340176,0.30708661,0.30909091,0.56921790,0.37598425,0.56724422,0.57975904,0.41196013,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.46597938,0.36570561,0.43105756,0.60229133,0.37256809,0.30022321,0.39387755,0.58106236,0.40072860,0.51098901,0.41983122,0.35981063,0.43529412,0.40831296,0.47122302,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.22615804,0.24340176,0.27070707,0.18205805,0.27777778,0.42331288,0.34228188,0.31944444,0.41196013,0.34237288,0.42026507,0.58858058,0.35195531,0.41373626,0.28661088,0.32114286,0.26470588,0.49600000,0.36570561,0.54411765,0.34426230,0.37256809,0.30022321,0.28205128,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.40070922,0.22615804,0.24340176,0.27070707,0.18205805,0.22813688,0.37598425,0.21568627,0.35135135,0.59348681,0.34237288,0.42026507,0.58858058,0.71404110,0.41373626,0.28661088,0.32114286,0.29257642,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.53003534,0.47122302,0.40942472,0.56906967,0.41192266,0.40428641,0.37878788,0.41570541,0.38827098
0.40070922,0.22615804,0.24340176,0.27070707,0.18205805,0.22813688,0.37598425,0.56724422,0.57975904,0.48387097,0.43750000,0.42026507,0.58858058,0.50107991,0.41373626,0.28661088,0.28348214,0.26470588,0.23312883,0.36570561,0.67123288,0.34426230,0.37256809,0.30022321,0.28205128,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.47222222,0.33333333,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.16233766,0.24340176,0.27070707,0.18205805,0.56921790,0.37598425,0.56724422,0.57975904,0.59348681,0.43902439,0.42026507,0.58858058,0.50107991,0.41373626,0.28661088,0.28348214,0.26470588,0.49600000,0.36570561,0.43105756,0.47152620,0.37256809,0.30022321,0.39387755,0.32967033,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.47222222,0.40942472,0.56906967,0.41192266,0.40428641,0.37878788,0.41570541,0.38827098
0.60943500,0.65112665,0.24340176,0.50199203,0.36511156,0.56921790,0.42331288,0.21568627,0.31250000,0.59348681,0.28957529,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.63134658,0.20238095,0.32033898,0.43181818,0.43105756,0.34426230,0.37256809,0.30022321,0.49328859,0.33447099,0.59821429,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.49411765,0.27070707,0.18205805,0.27777778,0.61547837,0.56724422,0.57975904,0.59348681,0.23913043,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.28348214,0.20238095,0.32033898,0.36570561,0.68932039,0.78527607,0.37256809,0.30022321,0.24347826,0.25742574,0.82300885,0.27205882,0.41983122,0.35981063,0.43529412,0.20454545,0.21276596,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.38827098
0.60943500,0.65112665,0.36599424,0.27070707,0.18205805,0.27777778,0.37598425,0.56724422,0.31250000,0.59348681,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.28661088,0.28348214,0.29257642,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.32492114,0.28205128,0.25742574,0.40072860,0.17567568,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.64619883,0.41570541,0.38827098
0.60943500,0.65112665,0.36599424,0.38876890,0.36511156,0.28571429,0.42331288,0.21568627,0.57975904,0.27777778,0.19708029,0.42026507,0.58858058,0.50107991,0.41373626,0.28661088,0.18750000,0.26470588,0.32033898,0.36570561,0.43105756,0.34426230,0.37256809,0.29629630,0.59856631,0.33447099,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.24301075,0.34492754,0.40942472,0.56906967,0.41192266,0.54708520,0.64619883,0.41570541,0.38827098
0.40070922,0.65112665,0.24340176,0.27070707,0.39333333,0.28571429,0.44545455,0.21610169,0.57975904,0.59348681,0.23913043,0.42026507,0.54054054,0.37111265,0.41373626,0.28661088,0.32114286,0.37931034,0.49600000,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.39387755,0.27272727,0.70000000,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.51162791,0.64619883,0.41570541,0.38827098
0.60943500,0.65112665,0.36599424,0.38876890,0.18205805,0.28571429,0.42331288,0.56724422,0.31250000,0.59348681,0.58214625,0.42026507,0.58858058,0.50107991,0.41373626,0.28661088,0.28348214,0.29257642,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.30022321,0.39387755,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.34492754,0.33333333,0.56906967,0.41192266,0.54708520,0.64619883,0.41570541,0.38827098
0.60943500,0.65112665,0.49411765,0.50199203,0.63481829,0.56921790,0.42331288,0.56724422,0.57975904,0.59348681,0.43750000,0.42026507,0.37685460,0.81632653,0.41373626,0.28661088,0.28348214,0.29257642,0.46597938,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.24347826,0.27272727,0.40072860,0.42682927,0.41983122,0.40350877,0.43529412,0.24301075,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.38827098
0.60943500,0.65112665,0.36599424,0.27070707,0.18205805,0.27777778,0.42331288,0.34228188,0.31250000,0.27777778,0.28957529,0.42026507,0.58858058,0.71404110,0.41373626,0.28661088,0.28348214,0.26470588,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.29629630,0.28205128,0.27272727,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.64619883,0.41570541,0.38827098
0.60943500,0.65112665,0.36599424,0.27070707,0.18205805,0.27777778,0.44545455,0.34228188,0.31250000,0.59348681,0.19708029,0.42026507,0.54054054,0.37111265,0.69435216,0.28661088,0.32114286,0.29257642,0.46597938,0.36570561,0.43105756,0.34426230,0.37256809,0.13043478,0.39387755,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.40942472,0.56906967,0.36111111,0.40428641,0.39797549,0.41570541,0.38827098
0.40070922,0.16233766,0.24340176,0.27070707,0.18205805,0.27777778,0.42331288,0.56724422,0.57975904,0.48387097,0.43750000,0.42026507,0.58858058,0.35195531,0.41373626,0.28661088,0.32114286,0.29257642,0.46597938,0.36570561,0.43105756,0.60229133,0.37256809,0.30022321,0.28205128,0.32967033,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.47122302,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.22615804,0.24340176,0.27070707,0.18205805,0.27777778,0.61547837,0.34228188,0.23076923,0.59348681,0.34237288,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.28348214,0.29257642,0.60483384,0.36570561,0.43105756,0.34426230,0.37256809,0.30022321,0.39387755,0.32967033,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.54732510,0.24340176,0.27070707,0.18205805,0.56921790,0.42331288,0.56724422,0.31250000,0.59348681,0.34237288,0.70588235,0.58858058,0.50107991,0.69435216,0.28661088,0.32114286,0.26470588,0.23312883,0.36570561,0.43105756,0.60229133,0.37256809,0.30022321,0.39387755,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.38827098
0.60943500,0.16233766,0.24340176,0.27070707,0.18205805,0.56921790,0.37598425,0.56724422,0.57975904,0.41196013,0.34237288,0.42026507,0.58858058,0.35195531,0.41373626,0.28661088,0.28348214,0.57394366,0.49600000,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.58106236,0.40072860,0.51098901,0.41983122,0.35981063,0.43529412,0.53003534,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.64619883,0.41570541,0.38827098
0.60943500,0.45945946,0.36599424,0.27070707,0.36511156,0.56921790,0.44545455,0.56724422,0.57975904,0.48387097,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.26612903,0.29257642,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.30022321,0.28205128,0.33447099,0.59821429,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.47222222,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.45945946,0.49411765,0.38876890,0.18205805,0.56921790,0.37598425,0.56724422,0.31250000,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.28348214,0.26470588,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.22615804,0.60486995,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.35211268,0.58214625,0.42026507,0.58858058,0.37111265,0.68896321,0.57398374,0.63134658,0.57394366,0.60483384,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.58640984,0.40942472,0.19130435,0.58682635,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.40447154,0.49411765,0.50199203,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.41196013,0.58214625,0.78294574,0.58858058,0.37111265,0.41373626,0.28661088,0.73578595,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.44571429,0.48717949,0.58106236,0.40072860,0.61169882,0.41983122,0.57272727,0.43529412,0.61182994,0.58640984,0.40942472,0.56906967,0.55952381,0.40428641,0.39797549,0.41570541,0.38827098
0.27702703,0.54732510,0.24340176,0.61524047,0.39333333,0.22813688,0.37598425,0.15000000,0.31250000,0.35211268,0.23913043,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.28348214,0.20238095,0.32033898,0.36570561,0.43105756,0.34426230,0.37256809,0.32492114,0.24347826,0.25742574,0.59821429,0.27205882,0.41983122,0.74430380,0.43529412,0.20454545,0.21276596,0.40942472,0.56906967,0.41192266,0.78318584,0.39797549,0.82539683,0.38827098
0.60943500,0.65112665,0.28571429,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.31250000,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.33447099,0.59821429,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.21276596,0.63903282,0.17575758,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.60486995,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.69435216,0.28661088,0.28348214,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.30434783,0.40072860,0.36616702,0.71014493,0.35981063,0.43529412,0.24301075,0.47122302,0.40942472,0.21428571,0.58682635,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.21951220,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.68896321,0.28661088,0.28348214,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.32967033,0.70000000,0.27205882,0.41983122,0.35981063,0.43529412,0.20454545,0.27898551,0.63903282,0.21428571,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.21568627,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.12500000,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.47122302,0.40942472,0.56906967,0.41192266,0.51162791,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.21951220,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.58106236,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.12500000,0.21276596,0.40942472,0.13114754,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.49411765,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.26612903,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.12500000,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.27898551,0.40942472,0.17575758,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.49411765,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.22222222,0.41373626,0.28661088,0.18750000,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.40000000,0.12500000,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.24301075,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.24340176,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.23076923,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.26612903,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.24301075,0.58640984,0.40942472,0.56906967,0.62670300,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.49411765,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.70588235,0.58858058,0.37111265,0.41373626,0.28661088,0.28348214,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.33447099,0.59821429,0.17567568,0.41983122,0.35981063,0.43529412,0.12500000,0.58640984,0.40942472,0.13114754,0.88135593,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.49411765,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.26612903,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.31250000,0.42682927,0.41983122,0.35981063,0.43529412,0.20454545,0.27898551,0.40942472,0.19130435,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.53846154,0.65112665,0.49411765,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.35135135,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.00000000,0.59856631,0.33447099,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.40831296,0.47122302,0.40942472,0.17575758,0.55952381,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.60486995,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.40072860,0.17567568,0.41983122,0.35981063,0.43529412,0.12500000,0.58640984,0.51006711,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.60486995,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.28348214,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.32967033,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.20454545,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.36599424,0.61524047,0.63481829,0.56921790,0.61547837,0.56724422,0.37850467,0.59348681,0.58214625,0.42026507,0.58858058,0.50107991,0.41373626,0.28661088,0.28348214,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.30434783,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.58640984,0.40942472,0.17575758,0.78325123,0.40428641,0.39797549,0.41570541,0.38827098
